iteration,train_loss,eval_loss
1,0.17061035335063934,inf
2,0.16975641250610352,inf
3,0.16307424008846283,inf
4,0.15741997957229614,inf
5,0.15533076226711273,0.37416961789131165
6,0.14115439355373383,inf
7,0.21142983436584473,inf
8,0.13869905471801758,inf
9,0.13759808242321014,inf
10,0.13949985802173615,0.3891230821609497
11,0.14780783653259277,inf
12,0.14552263915538788,inf
13,0.14621788263320923,inf
14,0.1463739275932312,inf
15,0.1409294456243515,0.37359070777893066
16,0.1438109427690506,inf
17,0.1391945630311966,inf
18,0.14365844428539276,inf
19,0.1490510255098343,inf
20,0.13935916125774384,0.3613526225090027
21,0.13534227013587952,inf
22,0.14146165549755096,inf
23,0.13381852209568024,inf
24,0.12987785041332245,inf
25,0.1303860992193222,0.3767078220844269
26,0.13555757701396942,inf
27,0.12775737047195435,inf
28,0.12420016527175903,inf
29,0.1192852258682251,inf
30,0.12831752002239227,0.3474780321121216
31,0.11611788719892502,inf
32,0.13482409715652466,inf
33,0.1349734216928482,inf
34,0.12048361450433731,inf
35,0.12187979370355606,0.3493655323982239
36,0.11271438747644424,inf
37,0.12891897559165955,inf
38,0.11376350373029709,inf
39,0.11828885227441788,inf
40,0.12743735313415527,0.3384355306625366
41,0.1236492395401001,inf
42,0.11413943767547607,inf
43,0.11296316236257553,inf
44,0.10918080806732178,inf
45,0.12084241211414337,0.3191789388656616
46,0.11273770779371262,inf
47,0.1103813424706459,inf
48,0.1057533547282219,inf
49,0.12355989217758179,inf
50,0.10676341503858566,0.31821250915527344
51,0.11452001333236694,inf
52,0.11369054764509201,inf
53,0.11007404327392578,inf
54,0.11809650808572769,inf
55,0.11189243942499161,0.3062341511249542
56,0.11480825394392014,inf
57,0.1068343073129654,inf
58,0.11307498067617416,inf
59,0.12078814953565598,inf
60,0.14477340877056122,0.3170742988586426
61,0.10358333587646484,inf
62,0.111833356320858,inf
63,0.12347221374511719,inf
64,0.10663770884275436,inf
65,0.10700569301843643,0.3194615840911865
66,0.1020364761352539,inf
67,0.10054558515548706,inf
68,0.12124087661504745,inf
69,0.1126224547624588,inf
70,0.113786481320858,0.3076744079589844
71,0.11499438434839249,inf
72,0.11010730266571045,inf
73,0.11280091106891632,inf
74,0.10768208652734756,inf
75,0.11209280788898468,0.32682931423187256
76,0.13064268231391907,inf
77,0.11968188732862473,inf
78,0.10427683591842651,inf
79,0.11426090449094772,inf
80,0.11300035566091537,0.35349100828170776
81,0.10593818873167038,inf
82,0.10101301968097687,inf
83,0.10579194873571396,inf
84,0.0973445400595665,inf
85,0.0999336764216423,0.3392478823661804
86,0.11452170461416245,inf
87,0.1156218871474266,inf
88,0.10193877667188644,inf
89,0.10387871414422989,inf
90,0.11165379732847214,0.3075777292251587
91,0.12186749279499054,inf
92,0.1104486957192421,inf
93,0.1243579164147377,inf
94,0.10772174596786499,inf
95,0.10494784265756607,0.3372156023979187
96,0.10329177230596542,inf
97,0.1019863411784172,inf
98,0.11054927110671997,inf
99,0.12027152627706528,inf
100,0.09067783504724503,0.3014708459377289
