iteration,train_loss,eval_loss
1,0.03636309131979942,inf
2,0.032486677169799805,inf
3,0.032976359128952026,inf
4,0.029603149741888046,inf
5,0.030029544606804848,0.02817719429731369
6,0.02702721580862999,inf
7,0.025600532069802284,inf
8,0.03476638346910477,inf
9,0.026735179126262665,inf
10,0.03130170702934265,0.032407697290182114
11,0.02680905908346176,inf
12,0.02558854967355728,inf
13,0.032350994646549225,inf
14,0.02628335729241371,inf
15,0.024427112191915512,0.030035290867090225
16,0.02510182559490204,inf
17,0.026230832561850548,inf
18,0.02484537661075592,inf
19,0.024248402565717697,inf
20,0.031495776027441025,0.023021169006824493
21,0.023815613240003586,inf
22,0.021596193313598633,inf
23,0.02278389409184456,inf
24,0.031541597098112106,inf
25,0.026698967441916466,0.03015431948006153
26,0.024593301117420197,inf
27,0.02938663400709629,inf
28,0.03158428892493248,inf
29,0.02386641874909401,inf
30,0.02068341337144375,0.02311050333082676
31,0.027158496901392937,inf
32,0.020535048097372055,inf
33,0.026401787996292114,inf
34,0.023134440183639526,inf
35,0.019761178642511368,0.021430525928735733
36,0.0205153189599514,inf
37,0.02416832372546196,inf
38,0.021703405305743217,inf
39,0.020219292491674423,inf
40,0.025491125881671906,0.01633262075483799
41,0.02553524076938629,inf
42,0.022680282592773438,inf
43,0.02233237959444523,inf
44,0.019189827144145966,inf
45,0.01958487555384636,0.0154369305819273
46,0.020915299654006958,inf
47,0.023114996030926704,inf
48,0.020319364964962006,inf
49,0.01972983032464981,inf
50,0.019085660576820374,0.015099001117050648
51,0.02154342643916607,inf
52,0.021755000576376915,inf
53,0.021546266973018646,inf
54,0.019081834703683853,inf
55,0.020581189543008804,0.01729399710893631
56,0.021545737981796265,inf
57,0.01951388269662857,inf
58,0.021256480365991592,inf
59,0.017931856215000153,inf
60,0.021140359342098236,0.0168430358171463
61,0.021372860297560692,inf
62,0.02008003368973732,inf
63,0.01924281194806099,inf
64,0.01775521971285343,inf
65,0.02059699408710003,0.01884089782834053
66,0.018345022574067116,inf
67,0.019100071862339973,inf
68,0.021828897297382355,inf
69,0.01926823891699314,inf
70,0.01895691640675068,0.013988192193210125
71,0.021798165515065193,inf
72,0.018370339646935463,inf
73,0.020349908620119095,inf
74,0.025308595970273018,inf
75,0.019444666802883148,0.014699645340442657
76,0.02037769742310047,inf
77,0.022994432598352432,inf
78,0.020002901554107666,inf
79,0.01935705542564392,inf
80,0.02310786023736,0.016959941014647484
81,0.020970230922102928,inf
82,0.01833462342619896,inf
83,0.027972005307674408,inf
84,0.0203216802328825,inf
85,0.018535412847995758,0.013724159449338913
86,0.022601542994379997,inf
87,0.017495261505246162,inf
88,0.01899939961731434,inf
89,0.021103333681821823,inf
90,0.01860637590289116,0.016243942081928253
91,0.018017642199993134,inf
92,0.018010836094617844,inf
93,0.018031999468803406,inf
94,0.017821412533521652,inf
95,0.018086344003677368,0.019101213663816452
96,0.018015382811427116,inf
97,0.021032407879829407,inf
98,0.019089888781309128,inf
99,0.022930845618247986,inf
100,0.01814565248787403,0.012516932561993599
