iteration,train_loss,eval_loss
1,1.7623637914657593,inf
2,1.7080659866333008,inf
3,1.6754381656646729,inf
4,1.566122055053711,inf
5,1.4815714359283447,1.8439631462097168
6,1.400237798690796,inf
7,1.3875083923339844,inf
8,1.3317949771881104,inf
9,1.2971632480621338,inf
10,1.2823669910430908,1.695119023323059
11,1.2483458518981934,inf
12,1.2412562370300293,inf
13,1.2077358961105347,inf
14,1.1930469274520874,inf
15,1.1943676471710205,1.6466424465179443
16,1.1838737726211548,inf
17,1.1747533082962036,inf
18,1.1920244693756104,inf
19,1.1841442584991455,inf
20,1.1608805656433105,1.6144287586212158
21,1.163380742073059,inf
22,1.1557416915893555,inf
23,1.1513216495513916,inf
24,1.1508111953735352,inf
25,1.1477229595184326,1.6248154640197754
26,1.1383068561553955,inf
27,1.1544840335845947,inf
28,1.136101245880127,inf
29,1.1495842933654785,inf
30,1.1411489248275757,1.5977928638458252
31,1.1429696083068848,inf
32,1.138993740081787,inf
33,1.1523276567459106,inf
34,1.138931393623352,inf
35,1.1318466663360596,1.5937142372131348
36,1.1317857503890991,inf
37,1.1272225379943848,inf
38,1.1270897388458252,inf
39,1.1370916366577148,inf
40,1.1223629713058472,1.5869632959365845
41,1.1263976097106934,inf
42,1.1161425113677979,inf
43,1.12921941280365,inf
44,1.1172707080841064,inf
45,1.1223385334014893,1.5808699131011963
46,1.126576542854309,inf
47,1.1175518035888672,inf
48,1.1090843677520752,inf
49,1.1172734498977661,inf
50,1.1268128156661987,1.59459388256073
51,1.109627366065979,inf
52,1.1292433738708496,inf
53,1.1047601699829102,inf
54,1.1217048168182373,inf
55,1.11476731300354,1.5765926837921143
56,1.1044896841049194,inf
57,1.1038106679916382,inf
58,1.107476830482483,inf
59,1.115247130393982,inf
60,1.1272681951522827,1.5761897563934326
61,1.1129674911499023,inf
62,1.103468894958496,inf
63,1.1030528545379639,inf
64,1.1261916160583496,inf
65,1.1242189407348633,1.576703667640686
66,1.1065497398376465,inf
67,1.1047297716140747,inf
68,1.1256096363067627,inf
69,1.1141294240951538,inf
70,1.110406756401062,1.5759825706481934
71,1.106168508529663,inf
72,1.1105040311813354,inf
73,1.104660987854004,inf
74,1.1057610511779785,inf
75,1.1152586936950684,1.5795912742614746
76,1.109570026397705,inf
77,1.1111514568328857,inf
78,1.1027106046676636,inf
79,1.1350820064544678,inf
80,1.119170069694519,1.575685739517212
81,1.1159934997558594,inf
82,1.1139905452728271,inf
83,1.1041749715805054,inf
84,1.108995795249939,inf
85,1.1304174661636353,1.5762853622436523
86,1.103832483291626,inf
87,1.104771614074707,inf
88,1.1272448301315308,inf
89,1.0998258590698242,inf
90,1.133806586265564,1.57418954372406
91,1.1105252504348755,inf
92,1.100474238395691,inf
93,1.1007664203643799,inf
94,1.1096280813217163,inf
95,1.106844186782837,1.5701992511749268
96,1.0942935943603516,inf
97,1.0935953855514526,inf
98,1.1267709732055664,inf
99,1.118730902671814,inf
100,1.1050984859466553,1.5708328485488892
