iteration,train_loss,eval_loss
1,2.2918128967285156,inf
2,2.2061145305633545,inf
3,2.1486644744873047,inf
4,2.1060023307800293,inf
5,2.001596450805664,2.330436944961548
6,1.9474281072616577,inf
7,1.8990817070007324,inf
8,1.8937997817993164,inf
9,1.8610475063323975,inf
10,1.8482770919799805,2.215785026550293
11,1.7957277297973633,inf
12,1.7790979146957397,inf
13,1.757735013961792,inf
14,1.7566789388656616,inf
15,1.7441956996917725,2.115401268005371
16,1.6986887454986572,inf
17,1.694716215133667,inf
18,1.6978223323822021,inf
19,1.6636155843734741,inf
20,1.6647212505340576,2.1049671173095703
21,1.6608366966247559,inf
22,1.6891425848007202,inf
23,1.657300353050232,inf
24,1.6739356517791748,inf
25,1.6828956604003906,2.0814855098724365
26,1.643297553062439,inf
27,1.6526803970336914,inf
28,1.654113531112671,inf
29,1.659517526626587,inf
30,1.6439108848571777,2.0435056686401367
31,1.6459786891937256,inf
32,1.6274182796478271,inf
33,1.639829397201538,inf
34,1.6319599151611328,inf
35,1.623547077178955,2.039219856262207
36,1.6226062774658203,inf
37,1.6283315420150757,inf
38,1.6296441555023193,inf
39,1.656556487083435,inf
40,1.630872130393982,2.029355525970459
41,1.620867133140564,inf
42,1.6112078428268433,inf
43,1.6170940399169922,inf
44,1.6089938879013062,inf
45,1.627140998840332,2.0268335342407227
46,1.6138062477111816,inf
47,1.6026949882507324,inf
48,1.6147069931030273,inf
49,1.6034092903137207,inf
50,1.6003010272979736,2.0159075260162354
51,1.6005882024765015,inf
52,1.6030786037445068,inf
53,1.615524172782898,inf
54,1.6017707586288452,inf
55,1.599940299987793,2.012455940246582
56,1.6041290760040283,inf
57,1.5918231010437012,inf
58,1.598282814025879,inf
59,1.5949125289916992,inf
60,1.5995982885360718,2.007673501968384
61,1.6009687185287476,inf
62,1.5948052406311035,inf
63,1.6009459495544434,inf
64,1.596538782119751,inf
65,1.6093547344207764,2.007268190383911
66,1.5889098644256592,inf
67,1.6073789596557617,inf
68,1.5880268812179565,inf
69,1.6097609996795654,inf
70,1.589073657989502,2.0205163955688477
71,1.599569320678711,inf
72,1.592329978942871,inf
73,1.605669379234314,inf
74,1.5896443128585815,inf
75,1.6072814464569092,2.008606433868408
76,1.5977795124053955,inf
77,1.5971406698226929,inf
78,1.6173934936523438,inf
79,1.5959304571151733,inf
80,1.605278730392456,2.0050578117370605
81,1.5986535549163818,inf
82,1.5945943593978882,inf
83,1.5943851470947266,inf
84,1.6013014316558838,inf
85,1.5946296453475952,2.0024313926696777
86,1.5889015197753906,inf
87,1.598760962486267,inf
88,1.5865492820739746,inf
89,1.5835962295532227,inf
90,1.5851186513900757,2.0169243812561035
91,1.5871610641479492,inf
92,1.6053622961044312,inf
93,1.5790704488754272,inf
94,1.5783507823944092,inf
95,1.587114691734314,1.994092345237732
96,1.5831632614135742,inf
97,1.5735925436019897,inf
98,1.577837347984314,inf
99,1.568422794342041,inf
100,1.5699520111083984,1.9944959878921509
