iteration,train_loss,eval_loss
1,0.07893916964530945,inf
2,0.07293007522821426,inf
3,0.061931028962135315,inf
4,0.05552180856466293,inf
5,0.04995853826403618,0.06110372021794319
6,0.04397851228713989,inf
7,0.04198629781603813,inf
8,0.04243198782205582,inf
9,0.04132556915283203,inf
10,0.041925422847270966,0.05808613449335098
11,0.0413239449262619,inf
12,0.04116566851735115,inf
13,0.04079598933458328,inf
14,0.040983136743307114,inf
15,0.04062891751527786,0.05701055750250816
16,0.04074857383966446,inf
17,0.0406680703163147,inf
18,0.040704064071178436,inf
19,0.040475353598594666,inf
20,0.040643155574798584,0.05698147788643837
21,0.04063180461525917,inf
22,0.04036932811141014,inf
23,0.040599338710308075,inf
24,0.040612608194351196,inf
25,0.040550120174884796,0.0570216104388237
26,0.04065327346324921,inf
27,0.040470488369464874,inf
28,0.040386274456977844,inf
29,0.04032498598098755,inf
30,0.040432706475257874,0.0566597655415535
31,0.04031454771757126,inf
32,0.040281444787979126,inf
33,0.04028569906949997,inf
34,0.04035972058773041,inf
35,0.04032769054174423,0.05673876777291298
36,0.04033024609088898,inf
37,0.04023344814777374,inf
38,0.04009338840842247,inf
39,0.03993966802954674,inf
40,0.0401032492518425,0.056425437331199646
41,0.03994273021817207,inf
42,0.03991167992353439,inf
43,0.04023754224181175,inf
44,0.0400606244802475,inf
45,0.04001626744866371,0.05612492561340332
46,0.039767563343048096,inf
47,0.04005486145615578,inf
48,0.04002885892987251,inf
49,0.039749957621097565,inf
50,0.03960033878684044,0.05577295646071434
51,0.040068432688713074,inf
52,0.03964092582464218,inf
53,0.03944049030542374,inf
54,0.03964179754257202,inf
55,0.039892252534627914,0.055805932730436325
56,0.03954959288239479,inf
57,0.03949804604053497,inf
58,0.03993239998817444,inf
59,0.040190666913986206,inf
60,0.03949562832713127,0.05560963600873947
61,0.0399957075715065,inf
62,0.039655737578868866,inf
63,0.03958093747496605,inf
64,0.03942074999213219,inf
65,0.03937823325395584,0.05575751140713692
66,0.03987390547990799,inf
67,0.03939875215291977,inf
68,0.03917694836854935,inf
69,0.03978395462036133,inf
70,0.03961858153343201,0.05551186949014664
71,0.03949955105781555,inf
72,0.0391659215092659,inf
73,0.03949293866753578,inf
74,0.03942357003688812,inf
75,0.03944891691207886,0.055620402097702026
76,0.03931069001555443,inf
77,0.039421241730451584,inf
78,0.03941800445318222,inf
79,0.03971102088689804,inf
80,0.03927554190158844,0.055465973913669586
81,0.03917200490832329,inf
82,0.03955554962158203,inf
83,0.039577119052410126,inf
84,0.039622992277145386,inf
85,0.039657607674598694,0.0555555522441864
86,0.039381422102451324,inf
87,0.03929215669631958,inf
88,0.03948405012488365,inf
89,0.039136867970228195,inf
90,0.03915724530816078,0.05537249892950058
91,0.03938158601522446,inf
92,0.039027195423841476,inf
93,0.03955670818686485,inf
94,0.03889427334070206,inf
95,0.03898470476269722,0.05548074096441269
96,0.038728781044483185,inf
97,0.03917048126459122,inf
98,0.03861125931143761,inf
99,0.03898937627673149,inf
100,0.03822801262140274,0.055039629340171814
