iteration,train_loss,eval_loss
1,3.811311721801758,inf
2,3.740720510482788,inf
3,3.678236961364746,inf
4,3.610194444656372,inf
5,3.542292356491089,2.9085917472839355
6,3.4851608276367188,inf
7,3.423037052154541,inf
8,3.3959884643554688,inf
9,3.3764262199401855,inf
10,3.360936164855957,2.769007444381714
11,3.3488550186157227,inf
12,3.321713924407959,inf
13,3.3173398971557617,inf
14,3.2821714878082275,inf
15,3.2625856399536133,2.673494815826416
16,3.2481579780578613,inf
17,3.241323947906494,inf
18,3.231145143508911,inf
19,3.224961757659912,inf
20,3.2084250450134277,2.6274547576904297
21,3.201180934906006,inf
22,3.196542263031006,inf
23,3.1970341205596924,inf
24,3.1928305625915527,inf
25,3.188714027404785,2.6080026626586914
26,3.1805877685546875,inf
27,3.177574396133423,inf
28,3.1779417991638184,inf
29,3.163092613220215,inf
30,3.1717727184295654,2.5960373878479004
31,3.1599414348602295,inf
32,3.156750202178955,inf
33,3.156018018722534,inf
34,3.1500425338745117,inf
35,3.150629997253418,2.5757079124450684
36,3.1439459323883057,inf
37,3.138853073120117,inf
38,3.138303756713867,inf
39,3.141965389251709,inf
40,3.133352756500244,2.5555741786956787
41,3.1348042488098145,inf
42,3.1399784088134766,inf
43,3.129612445831299,inf
44,3.1326749324798584,inf
45,3.1284070014953613,2.5452961921691895
46,3.125431537628174,inf
47,3.1222259998321533,inf
48,3.1216399669647217,inf
49,3.121958017349243,inf
50,3.119717597961426,2.5442283153533936
51,3.1157965660095215,inf
52,3.114570379257202,inf
53,3.1151342391967773,inf
54,3.1230111122131348,inf
55,3.1166062355041504,2.537109613418579
56,3.1128857135772705,inf
57,3.119443655014038,inf
58,3.118603229522705,inf
59,3.113825798034668,inf
60,3.110469341278076,2.5355911254882812
61,3.1144585609436035,inf
62,3.1122453212738037,inf
63,3.1122825145721436,inf
64,3.109776496887207,inf
65,3.11395263671875,2.5358753204345703
66,3.1157026290893555,inf
67,3.11557936668396,inf
68,3.1160812377929688,inf
69,3.111579656600952,inf
70,3.109724521636963,2.541424512863159
71,3.110934019088745,inf
72,3.11260724067688,inf
73,3.1091043949127197,inf
74,3.1094393730163574,inf
75,3.109825611114502,2.5367488861083984
76,3.1170759201049805,inf
77,3.1107263565063477,inf
78,3.1151633262634277,inf
79,3.1165530681610107,inf
80,3.109541893005371,2.537109136581421
81,3.1083641052246094,inf
82,3.1088016033172607,inf
83,3.114776849746704,inf
84,3.113346576690674,inf
85,3.107119560241699,2.533761501312256
86,3.108962297439575,inf
87,3.1111483573913574,inf
88,3.108670234680176,inf
89,3.1081511974334717,inf
90,3.1061739921569824,2.5296692848205566
91,3.102147340774536,inf
92,3.1026737689971924,inf
93,3.1041722297668457,inf
94,3.103693962097168,inf
95,3.097071409225464,2.521521806716919
96,3.100961446762085,inf
97,3.099289655685425,inf
98,3.0945184230804443,inf
99,3.0974440574645996,inf
100,3.0908589363098145,2.5157837867736816
