iteration,train_loss,eval_loss
1,0.06387428194284439,inf
2,0.06425569206476212,inf
3,0.06257688254117966,inf
4,0.06207665428519249,inf
5,0.06546079367399216,0.06669759750366211
6,0.062100302428007126,inf
7,0.06228712946176529,inf
8,0.06367261707782745,inf
9,0.06283731758594513,inf
10,0.06432045996189117,0.06470309942960739
11,0.06156865507364273,inf
12,0.06305409967899323,inf
13,0.06064615398645401,inf
14,0.061164598912000656,inf
15,0.062226857990026474,0.06325878202915192
16,0.06134338304400444,inf
17,0.06254147738218307,inf
18,0.06008484587073326,inf
19,0.06147253140807152,inf
20,0.060883622616529465,0.06424404680728912
21,0.06265969574451447,inf
22,0.05988774821162224,inf
23,0.060211773961782455,inf
24,0.061392344534397125,inf
25,0.061290085315704346,0.06320704519748688
26,0.05905848741531372,inf
27,0.06042809039354324,inf
28,0.059944141656160355,inf
29,0.05948017165064812,inf
30,0.06014729663729668,0.06242120638489723
31,0.0600285641849041,inf
32,0.061467528343200684,inf
33,0.06158468872308731,inf
34,0.057889342308044434,inf
35,0.05709458142518997,0.06313860416412354
36,0.05906729772686958,inf
37,0.05704782158136368,inf
38,0.05628332495689392,inf
39,0.055532921105623245,inf
40,0.05609555169939995,0.05975892394781113
41,0.06018122658133507,inf
42,0.05635962635278702,inf
43,0.05777250602841377,inf
44,0.058146726340055466,inf
45,0.05551374703645706,0.06002011150121689
46,0.055180687457323074,inf
47,0.057622313499450684,inf
48,0.056240733712911606,inf
49,0.05438845232129097,inf
50,0.0536297932267189,0.05956186354160309
51,0.054839398711919785,inf
52,0.0535101555287838,inf
53,0.05323517322540283,inf
54,0.05430721864104271,inf
55,0.054056089371442795,0.06294967234134674
56,0.054656244814395905,inf
57,0.05354990437626839,inf
58,0.052176665514707565,inf
59,0.05653678998351097,inf
60,0.05209333822131157,0.059097886085510254
61,0.05431358888745308,inf
62,0.05187751725316048,inf
63,0.051609087735414505,inf
64,0.05375519022345543,inf
65,0.05356593802571297,0.05953935533761978
66,0.051640432327985764,inf
67,0.05602173134684563,inf
68,0.05240258201956749,inf
69,0.05088237673044205,inf
70,0.05293740704655647,0.05976002663373947
71,0.05059725046157837,inf
72,0.051780492067337036,inf
73,0.05118035897612572,inf
74,0.05367276817560196,inf
75,0.05214790254831314,0.06275032460689545
76,0.051145054399967194,inf
77,0.05096171051263809,inf
78,0.05613405257463455,inf
79,0.051275014877319336,inf
80,0.05047081783413887,0.05937483161687851
81,0.0531281940639019,inf
82,0.051709916442632675,inf
83,0.054474472999572754,inf
84,0.05671317130327225,inf
85,0.050416767597198486,0.05949385091662407
86,0.05047689750790596,inf
87,0.05524507910013199,inf
88,0.0525115504860878,inf
89,0.053030431270599365,inf
90,0.05068279430270195,0.06073157861828804
91,0.05051847919821739,inf
92,0.050773680210113525,inf
93,0.04999668896198273,inf
94,0.05166439339518547,inf
95,0.050452638417482376,0.07424575090408325
96,0.04920843988656998,inf
97,0.0495036356151104,inf
98,0.047676216810941696,inf
99,0.046420712023973465,inf
100,0.04993567243218422,0.06884597986936569
