iteration,train_loss,eval_loss
1,0.014059608802199364,inf
2,0.009956516325473785,inf
3,0.011318773031234741,inf
4,0.011384766548871994,inf
5,0.009986094199120998,0.01611323468387127
6,0.014383990317583084,inf
7,0.010790249332785606,inf
8,0.0096101313829422,inf
9,0.01002652570605278,inf
10,0.010992124676704407,0.013973971828818321
11,0.009603571146726608,inf
12,0.01271307747811079,inf
13,0.009680218994617462,inf
14,0.010227573104202747,inf
15,0.011466692201793194,0.014324193820357323
16,0.012443408370018005,inf
17,0.012927326373755932,inf
18,0.009540632367134094,inf
19,0.011138848029077053,inf
20,0.009814823977649212,0.015708565711975098
21,0.009328076615929604,inf
22,0.00924218725413084,inf
23,0.00895377155393362,inf
24,0.009444834664463997,inf
25,0.00931393913924694,0.01472970750182867
26,0.009850837290287018,inf
27,0.01000405102968216,inf
28,0.010571777820587158,inf
29,0.012073075398802757,inf
30,0.009972566738724709,0.014541245065629482
31,0.011639010161161423,inf
32,0.009921252727508545,inf
33,0.009688589721918106,inf
34,0.009120460599660873,inf
35,0.009466227144002914,0.014914495870471
36,0.015228459611535072,inf
37,0.01183033362030983,inf
38,0.010288855992257595,inf
39,0.008953788317739964,inf
40,0.010640701279044151,0.014955943450331688
41,0.010098159313201904,inf
42,0.012577489018440247,inf
43,0.00936270784586668,inf
44,0.009549971669912338,inf
45,0.012039932422339916,0.014242887496948242
46,0.010173076763749123,inf
47,0.010264713317155838,inf
48,0.011271998286247253,inf
49,0.01010807603597641,inf
50,0.009463643655180931,0.016060512512922287
51,0.009204975329339504,inf
52,0.008855350315570831,inf
53,0.009943855926394463,inf
54,0.009306098334491253,inf
55,0.01034818310290575,0.015224618837237358
56,0.010181054472923279,inf
57,0.008795119822025299,inf
58,0.009142374619841576,inf
59,0.009672975167632103,inf
60,0.011201530694961548,0.014229496009647846
61,0.011925792321562767,inf
62,0.012615441344678402,inf
63,0.009409468621015549,inf
64,0.009402520954608917,inf
65,0.012106576934456825,0.015077370218932629
66,0.009559539146721363,inf
67,0.010919732972979546,inf
68,0.00956413708627224,inf
69,0.009740175679326057,inf
70,0.008717140182852745,0.01499931700527668
71,0.010470425710082054,inf
72,0.009539972059428692,inf
73,0.010484976693987846,inf
74,0.009561094455420971,inf
75,0.00915195420384407,0.014766484498977661
76,0.010567910969257355,inf
77,0.010661604814231396,inf
78,0.01098341029137373,inf
79,0.011517870239913464,inf
80,0.010245940648019314,0.014528620056807995
81,0.010718794539570808,inf
82,0.010275070555508137,inf
83,0.009208756498992443,inf
84,0.010464275255799294,inf
85,0.009666327387094498,0.014211015775799751
86,0.009259735234081745,inf
87,0.009491391479969025,inf
88,0.009765708819031715,inf
89,0.011576436460018158,inf
90,0.009417680092155933,0.01453486829996109
91,0.009934643283486366,inf
92,0.010394311510026455,inf
93,0.009703084826469421,inf
94,0.010384464636445045,inf
95,0.008411413058638573,0.014586926437914371
96,0.01011713221669197,inf
97,0.009839467704296112,inf
98,0.008555738255381584,inf
99,0.010730588808655739,inf
100,0.009595929645001888,0.01672440767288208
