iteration,train_loss,eval_loss
1,4.19166898727417,inf
2,4.112428665161133,inf
3,4.069624900817871,inf
4,3.987114429473877,inf
5,3.9248673915863037,2.9670395851135254
6,3.854611396789551,inf
7,3.796210765838623,inf
8,3.7668097019195557,inf
9,3.7552967071533203,inf
10,3.7344799041748047,2.8428640365600586
11,3.720221519470215,inf
12,3.708104372024536,inf
13,3.691490650177002,inf
14,3.696532726287842,inf
15,3.6804795265197754,2.796891212463379
16,3.6705360412597656,inf
17,3.665311813354492,inf
18,3.658050537109375,inf
19,3.6399471759796143,inf
20,3.6258673667907715,2.7372829914093018
21,3.606419086456299,inf
22,3.5941505432128906,inf
23,3.5863959789276123,inf
24,3.573428153991699,inf
25,3.5767316818237305,2.7016313076019287
26,3.562382936477661,inf
27,3.550367593765259,inf
28,3.547545909881592,inf
29,3.5439445972442627,inf
30,3.5392136573791504,2.6806247234344482
31,3.532038688659668,inf
32,3.5272457599639893,inf
33,3.5236587524414062,inf
34,3.5236258506774902,inf
35,3.5169787406921387,2.6538472175598145
36,3.5200319290161133,inf
37,3.5146610736846924,inf
38,3.5128231048583984,inf
39,3.50924015045166,inf
40,3.504937171936035,2.645533561706543
41,3.5087223052978516,inf
42,3.5014214515686035,inf
43,3.4980227947235107,inf
44,3.5076346397399902,inf
45,3.498828172683716,2.636019706726074
46,3.4983277320861816,inf
47,3.492544651031494,inf
48,3.4965734481811523,inf
49,3.493831157684326,inf
50,3.4940378665924072,2.630012035369873
51,3.494264602661133,inf
52,3.4885194301605225,inf
53,3.4876456260681152,inf
54,3.4916491508483887,inf
55,3.4877681732177734,2.6318445205688477
56,3.489610195159912,inf
57,3.4890873432159424,inf
58,3.486830234527588,inf
59,3.483644485473633,inf
60,3.4891138076782227,2.6324257850646973
61,3.4894466400146484,inf
62,3.484375,inf
63,3.489983081817627,inf
64,3.4851937294006348,inf
65,3.484042167663574,2.62471604347229
66,3.4857749938964844,inf
67,3.4834768772125244,inf
68,3.4841248989105225,inf
69,3.4880905151367188,inf
70,3.488121509552002,2.630352735519409
71,3.4826035499572754,inf
72,3.4845900535583496,inf
73,3.484844446182251,inf
74,3.4876675605773926,inf
75,3.48590087890625,2.628197193145752
76,3.485574245452881,inf
77,3.4837141036987305,inf
78,3.4861738681793213,inf
79,3.489333152770996,inf
80,3.4843342304229736,2.623898983001709
81,3.4908711910247803,inf
82,3.489415168762207,inf
83,3.4820809364318848,inf
84,3.4880897998809814,inf
85,3.4798383712768555,2.623903512954712
86,3.4810030460357666,inf
87,3.4822001457214355,inf
88,3.4829444885253906,inf
89,3.477628707885742,inf
90,3.4779858589172363,2.61726713180542
91,3.478708028793335,inf
92,3.4751429557800293,inf
93,3.4766082763671875,inf
94,3.4726133346557617,inf
95,3.473297357559204,2.612755298614502
96,3.4704043865203857,inf
97,3.4677414894104004,inf
98,3.469888687133789,inf
99,3.468806266784668,inf
100,3.465514898300171,2.6050548553466797
