iteration,train_loss,eval_loss
1,0.06119964271783829,inf
2,0.05782986804842949,inf
3,0.05551665648818016,inf
4,0.05526696518063545,inf
5,0.04999551549553871,0.09510263800621033
6,0.05386829003691673,inf
7,0.05425809696316719,inf
8,0.05318635702133179,inf
9,0.05005856230854988,inf
10,0.04951844736933708,0.0857294499874115
11,0.04916469380259514,inf
12,0.048728421330451965,inf
13,0.04686092957854271,inf
14,0.05558053404092789,inf
15,0.05518850311636925,0.08599554002285004
16,0.05062587186694145,inf
17,0.04912086948752403,inf
18,0.048195574432611465,inf
19,0.04789724200963974,inf
20,0.05190885066986084,0.08697448670864105
21,0.0517549030482769,inf
22,0.052742984145879745,inf
23,0.047667231410741806,inf
24,0.04569422826170921,inf
25,0.04651964455842972,0.08664898574352264
26,0.04750315472483635,inf
27,0.0447026826441288,inf
28,0.04882185533642769,inf
29,0.04800218343734741,inf
30,0.0470460020005703,0.08006272464990616
31,0.046618252992630005,inf
32,0.04325089603662491,inf
33,0.04583194479346275,inf
34,0.04752723500132561,inf
35,0.04420199990272522,0.08622139692306519
36,0.05028098449110985,inf
37,0.044076692312955856,inf
38,0.04442531615495682,inf
39,0.04623210057616234,inf
40,0.04336417838931084,0.08411755412817001
41,0.04680642858147621,inf
42,0.0460779070854187,inf
43,0.04583346098661423,inf
44,0.04295128211379051,inf
45,0.05051955208182335,0.08121022582054138
46,0.04529830440878868,inf
47,0.04235945641994476,inf
48,0.041745465248823166,inf
49,0.041534870862960815,inf
50,0.04152372479438782,0.0846245288848877
51,0.04193849489092827,inf
52,0.04767850413918495,inf
53,0.04271785542368889,inf
54,0.04094857722520828,inf
55,0.04594695195555687,0.07806700468063354
56,0.04200631007552147,inf
57,0.043869342654943466,inf
58,0.044595059007406235,inf
59,0.046095602214336395,inf
60,0.04502002149820328,0.08257335424423218
61,0.041609298437833786,inf
62,0.04038657248020172,inf
63,0.04316437989473343,inf
64,0.04254075884819031,inf
65,0.04286308214068413,0.08348247408866882
66,0.04464613273739815,inf
67,0.03936062380671501,inf
68,0.041720904409885406,inf
69,0.04669712856411934,inf
70,0.0430883914232254,0.0843687355518341
71,0.046389251947402954,inf
72,0.04499358311295509,inf
73,0.044283874332904816,inf
74,0.040404558181762695,inf
75,0.04202548414468765,0.0852167084813118
76,0.04163401946425438,inf
77,0.04449610784649849,inf
78,0.04004525765776634,inf
79,0.04494927078485489,inf
80,0.04437229409813881,0.0800071433186531
81,0.03928419575095177,inf
82,0.04891321063041687,inf
83,0.04771139845252037,inf
84,0.03856288269162178,inf
85,0.045181840658187866,0.08401566743850708
86,0.04080110788345337,inf
87,0.045235875993967056,inf
88,0.0421077236533165,inf
89,0.04183145612478256,inf
90,0.0382271446287632,0.08605198562145233
91,0.04067486152052879,inf
92,0.04179801419377327,inf
93,0.03882201388478279,inf
94,0.039913732558488846,inf
95,0.04245460033416748,0.08222998678684235
96,0.04326554760336876,inf
97,0.045515161007642746,inf
98,0.04306737333536148,inf
99,0.040909506380558014,inf
100,0.04444613680243492,0.09391729533672333
