iteration,train_loss,eval_loss
1,0.08900710940361023,inf
2,0.08631674945354462,inf
3,0.08444997668266296,inf
4,0.07945366203784943,inf
5,0.07092870771884918,0.08224482834339142
6,0.06166013330221176,inf
7,0.055809274315834045,inf
8,0.06669239699840546,inf
9,0.05392960458993912,inf
10,0.09083368629217148,0.07297812402248383
11,0.05524308606982231,inf
12,0.05869292467832565,inf
13,0.06171538680791855,inf
14,0.059601809829473495,inf
15,0.06607688963413239,0.07557211816310883
16,0.05801908299326897,inf
17,0.05208677798509598,inf
18,0.050843365490436554,inf
19,0.04602073132991791,inf
20,0.04563054442405701,0.07001789659261703
21,0.04295452684164047,inf
22,0.04119926691055298,inf
23,0.040332794189453125,inf
24,0.034553077071905136,inf
25,0.04586566984653473,0.06078322231769562
26,0.035009317100048065,inf
27,0.03877130150794983,inf
28,0.0482201874256134,inf
29,0.03232840448617935,inf
30,0.0313071608543396,0.05348753184080124
31,0.032789528369903564,inf
32,0.03412826359272003,inf
33,0.039476148784160614,inf
34,0.03223828226327896,inf
35,0.03257125988602638,0.06035313755273819
36,0.03495126962661743,inf
37,0.04188872501254082,inf
38,0.03218196704983711,inf
39,0.03130754828453064,inf
40,0.032108478248119354,0.05152078717947006
41,0.03444496914744377,inf
42,0.036047887057065964,inf
43,0.038238611072301865,inf
44,0.03115067444741726,inf
45,0.03278229758143425,0.05455552041530609
46,0.03762969374656677,inf
47,0.028131406754255295,inf
48,0.033237483352422714,inf
49,0.03924769163131714,inf
50,0.030484139919281006,0.05380555987358093
51,0.030423222109675407,inf
52,0.02901306375861168,inf
53,0.03606795519590378,inf
54,0.028700724244117737,inf
55,0.028505979105830193,0.06075874716043472
56,0.029195636510849,inf
57,0.03051699511706829,inf
58,0.031109115108847618,inf
59,0.028603296726942062,inf
60,0.028527885675430298,0.054275885224342346
61,0.03551702946424484,inf
62,0.031904660165309906,inf
63,0.03235205262899399,inf
64,0.02924039587378502,inf
65,0.0315408818423748,0.04631979018449783
66,0.03208668902516365,inf
67,0.03651077672839165,inf
68,0.027809035032987595,inf
69,0.030053114518523216,inf
70,0.026024486869573593,0.050385162234306335
71,0.03349146246910095,inf
72,0.02946474775671959,inf
73,0.03915109857916832,inf
74,0.025022953748703003,inf
75,0.030132358893752098,0.04802478104829788
76,0.029299110174179077,inf
77,0.028713133186101913,inf
78,0.032905638217926025,inf
79,0.03286605328321457,inf
80,0.025517892092466354,0.05321211367845535
81,0.02677861973643303,inf
82,0.033788301050662994,inf
83,0.026373472064733505,inf
84,0.026527658104896545,inf
85,0.028321852907538414,0.04684340953826904
86,0.026750117540359497,inf
87,0.03399397060275078,inf
88,0.030894076451659203,inf
89,0.029658719897270203,inf
90,0.028028860688209534,0.046816423535346985
91,0.026601841673254967,inf
92,0.02826015278697014,inf
93,0.02826463244855404,inf
94,0.026370828971266747,inf
95,0.028805285692214966,0.0477362722158432
96,0.025597546249628067,inf
97,0.024890420958399773,inf
98,0.027959458529949188,inf
99,0.02508462965488434,inf
100,0.025933507829904556,0.04465986788272858
