iteration,train_loss,eval_loss
1,0.009440845809876919,inf
2,0.008411017246544361,inf
3,0.007983598858118057,inf
4,0.0063973888754844666,inf
5,0.005115889012813568,0.002885790541768074
6,0.00296689011156559,inf
7,0.0019668370950967073,inf
8,0.0013938164338469505,inf
9,0.0011130202328786254,inf
10,0.0009199814521707594,0.0009300183737650514
11,0.0008263322524726391,inf
12,0.0006446331972256303,inf
13,0.0005477694794535637,inf
14,0.000562232278753072,inf
15,0.0005204589106142521,0.0005360088543966413
16,0.0005689678946509957,inf
17,0.0005474422359839082,inf
18,0.0005429208395071328,inf
19,0.0005423619877547026,inf
20,0.0005068330792710185,0.0005080273258499801
21,0.00046759372344240546,inf
22,0.0004894162993878126,inf
23,0.00047313427785411477,inf
24,0.00046275201020762324,inf
25,0.0005116184474900365,0.0005802307277917862
26,0.00048536405665799975,inf
27,0.0004598714876919985,inf
28,0.0004593058838509023,inf
29,0.0004519851936493069,inf
30,0.00045554758980870247,0.0005106069147586823
31,0.00044784133206121624,inf
32,0.00044308227370493114,inf
33,0.0004328649665694684,inf
34,0.00043661336530931294,inf
35,0.0004365087952464819,0.0004653557843994349
36,0.00042286436655558646,inf
37,0.0004198406240902841,inf
38,0.00042168443906120956,inf
39,0.000420468975789845,inf
40,0.0004142342077102512,0.0004635787627194077
41,0.0004176059446763247,inf
42,0.00041926332050934434,inf
43,0.0004091179871466011,inf
44,0.00040789865306578577,inf
45,0.00040518242167308927,0.0004669401969294995
46,0.00040776203968562186,inf
47,0.00041197153041139245,inf
48,0.00040302719571627676,inf
49,0.0003996302839368582,inf
50,0.00040523361531086266,0.0004550982266664505
51,0.00041599603719078004,inf
52,0.00041634257650002837,inf
53,0.0004002558998763561,inf
54,0.0004009211261291057,inf
55,0.00040014320984482765,0.00045881644473411143
56,0.00040677961078472435,inf
57,0.0003979452303610742,inf
58,0.0003979552711825818,inf
59,0.0003933105617761612,inf
60,0.000399003823986277,0.00045069781481288373
61,0.00040524915675632656,inf
62,0.00039889197796583176,inf
63,0.000403359328629449,inf
64,0.0003991676785517484,inf
65,0.00039404534618370235,0.00046245442354120314
66,0.0004025457601528615,inf
67,0.00039546130574308336,inf
68,0.00039977513370104134,inf
69,0.0003880509757436812,inf
70,0.00039555414696224034,0.00048749931738711894
71,0.00039934966480359435,inf
72,0.00039249760448001325,inf
73,0.00039467663737013936,inf
74,0.00039855524664744735,inf
75,0.00039871345506981015,0.0004370003007352352
76,0.00039997888961806893,inf
77,0.0003971907135564834,inf
78,0.0003967044467572123,inf
79,0.00039960816502571106,inf
80,0.00039059307891875505,0.0004591008182615042
81,0.00039871144690550864,inf
82,0.0004008303221780807,inf
83,0.00039754441240802407,inf
84,0.0003966900985687971,inf
85,0.00040389972855336964,0.00043050400563515723
86,0.00039954864769242704,inf
87,0.0003915195120498538,inf
88,0.0003939311427529901,inf
89,0.000387158477678895,inf
90,0.00038697727723047137,0.00044953273027203977
91,0.0003929703962057829,inf
92,0.0003914919507224113,inf
93,0.00038013755693100393,inf
94,0.00038822530768811703,inf
95,0.00038121972465887666,0.00043707271106541157
96,0.0003806644817814231,inf
97,0.00038180011324584484,inf
98,0.00037847584462724626,inf
99,0.000382789148716256,inf
100,0.0004020849009975791,0.00042348774150013924
