iteration,train_loss,eval_loss
1,0.015366668812930584,inf
2,0.013168263249099255,inf
3,0.01631617173552513,inf
4,0.026584386825561523,inf
5,0.014027665369212627,0.017717689275741577
6,0.01597652956843376,inf
7,0.011265569366514683,inf
8,0.015684103593230247,inf
9,0.009009497240185738,inf
10,0.014037675224244595,0.00611763633787632
11,0.016943933442234993,inf
12,0.00848271232098341,inf
13,0.012017829343676567,inf
14,0.011768965981900692,inf
15,0.012280859984457493,0.007820412516593933
16,0.008873425424098969,inf
17,0.009129706770181656,inf
18,0.009031176567077637,inf
19,0.009185592643916607,inf
20,0.012906027026474476,0.006927965674549341
21,0.0126269506290555,inf
22,0.013389982283115387,inf
23,0.010325200855731964,inf
24,0.008308191783726215,inf
25,0.009165395982563496,0.0052848923951387405
26,0.01470333244651556,inf
27,0.012131638824939728,inf
28,0.010425101034343243,inf
29,0.01592072658240795,inf
30,0.012758609838783741,0.00960609596222639
31,0.008734919130802155,inf
32,0.013576924800872803,inf
33,0.016861293464899063,inf
34,0.011451023630797863,inf
35,0.016939906403422356,0.005407800432294607
36,0.014747505076229572,inf
37,0.01110045425593853,inf
38,0.014455169439315796,inf
39,0.011568227782845497,inf
40,0.006848560180515051,0.005315584596246481
41,0.007680804934352636,inf
42,0.007834749296307564,inf
43,0.00981632899492979,inf
44,0.009758124127984047,inf
45,0.01139455009251833,0.00965898297727108
46,0.009318619035184383,inf
47,0.007358800154179335,inf
48,0.008811863139271736,inf
49,0.012308124452829361,inf
50,0.010976721532642841,0.007188200950622559
51,0.010464361868798733,inf
52,0.007815653458237648,inf
53,0.011177868582308292,inf
54,0.007462007459253073,inf
55,0.013689890503883362,0.008494457229971886
56,0.014157828874886036,inf
57,0.013964700512588024,inf
58,0.012007450684905052,inf
59,0.013990843668580055,inf
60,0.015528208576142788,0.005672707688063383
61,0.01600549928843975,inf
62,0.01433158665895462,inf
63,0.010408887639641762,inf
64,0.009230229072272778,inf
65,0.0072129154577851295,0.020544929429888725
66,0.013892843388020992,inf
67,0.014041614718735218,inf
68,0.010858203284442425,inf
69,0.007947998121380806,inf
70,0.014343510381877422,0.005072960164397955
71,0.009350468404591084,inf
72,0.017045319080352783,inf
73,0.008061877451837063,inf
74,0.014011004939675331,inf
75,0.017298558726906776,0.009138721041381359
76,0.012578609399497509,inf
77,0.014231574721634388,inf
78,0.015414470806717873,inf
79,0.01009598933160305,inf
80,0.013896310701966286,0.007244959007948637
81,0.019451042637228966,inf
82,0.007658344693481922,inf
83,0.012085136957466602,inf
84,0.010197957046329975,inf
85,0.010986913926899433,0.012092302553355694
86,0.00708052096888423,inf
87,0.009126553311944008,inf
88,0.007483084686100483,inf
89,0.007475127466022968,inf
90,0.012624708004295826,0.006642808206379414
91,0.01142125390470028,inf
92,0.012445355765521526,inf
93,0.014032683335244656,inf
94,0.01162837352603674,inf
95,0.008175342343747616,0.0063712880946695805
96,0.008007305674254894,inf
97,0.01354036945849657,inf
98,0.015333716757595539,inf
99,0.012252534739673138,inf
100,0.009784466587007046,0.00901403184980154
